id;start_time;end_time;status;is_delete
1;2025-04-04T09:31:18;2025-04-04T03:02:10;COMPLETED;false
2;2025-04-04T14:03:40;2025-04-04T07:54:25;ONGOING;false
3;2025-04-04T10:28:11;2025-04-04T00:01:29;COMPLETED;false
4;2025-04-04T13:02:05;2025-04-04T10:50:12;ONGOING;false
5;2025-04-04T07:10:27;2025-04-03T19:55:11;COMPLETED;false
6;2025-04-04T12:31:54;2025-04-04T16:54:40;COMPLETED;false
7;2025-04-04T08:50:46;2025-04-04T03:24:46;ONGOING;false
8;2025-04-04T09:38:17;2025-04-04T12:49:39;ONGOING;true
9;2025-04-04T12:48:01;2025-04-04T10:41:03;ONGOING;true
10;2025-04-03T23:21:32;2025-04-03T22:59:48;ONGOING;true
